BeforeHab0_5,AfterHab0_5,,BeforeNoHab,AfterNoHab,,BeforeHab1,AfterHab1,,BeforeHab2,AfterHab2,,BeforeHab0_75,AfterHab0_75,,BeforeHab0_625,AfterHab0_625,,BeforeConst12,AfterConst12,,BeforeConst15,AfterConst15,,BeforeConst18,AfterConst18,,BeforeConst22,AfterConst22,,Iteration_CRS24hr,AcclimLevelCRS24hr,,Iteration_CRS8hr,AcclimLevelCRS8hr,,Iteration_CRS1hr,AcclimLevelCRS1hr,,Iteration_CRS0_5hr,AcclimLevelCRS0_5hr,,Iteration_CRS0_1hr,AcclimLevelCRS0_1hr,,PulseDurationCRS,TimeToAcclimationCRS,,Iteration_CRAS1hr1hr,AcclimLevelCRAS1hr1hr,,Iteration_CRAS0_5hr1_5hr,AcclimLevelCRAS0_5hr1_5hr,,Iteration_CRAS0_2hr1_8hr,AcclimLevelCRAS0_2hr1_8hr,,Iteration_CRAS0_1hr1_9hr,AcclimLevelCRAS0_1hr1_9hr,,Iteration_CRAS0_05hr1_95hr,AcclimLevelCRAS0_05hr1_95hr,,Iteration_CRAS0_025hr1_975hr,AcclimLevelCRAS0_025hr1_975hr,,Iteration_CRAS0hr2hr,AcclimLevelCRAS0hr2hr,,CRAS0hr2hrExtTestAnimal,CRAS0hr2hrExtTestDay0,CRAS0hr2hrExtTestDay1,CRAS0hr2hrExtTestDay2,CRAS0hr2hrExtTestDay3,CRAS0hr2hrExtTestDay4,CRAS0hr2hrExtTestDay5,,PulseDurationAsym,TimeToAcclimationCRAS,,,CycleType,PulseDuration,RecoveryTime,CycleDuration,Iterations,TotalTimeAt4C,AverageTemp,TimeToAcclimation,,,HDN0,HDN1,HDN2,HDN3,HDN4,HDN5,,HRN0,HRN1,HRN2,HRN3,HRN4,HRN5,,HDA0,HDA1,HDA2,HDA3,HDA4,HDA5,,HRA0,HRA1,HRA2,HRA3,HRA4,HRA5,,TTEAnimal,TTETemp,TempThresholdHealthBefore,TempThresholdHealthAfter,,,ATTMTime,ATTMDown1,ATTMDown2,ATTMDown3,ATTMUp1,ATTMUp2,ATTMUp3,,FeedingInterval4C,FeedingInterval22C,,,,,,,Comments
5,5,,,,,,,,,,,,,,,,,5,5,,5,4,,5,3,,5,0,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,5,4,3,3,3,,,,,,Asym,0.025,1.975,2,72,1.8,19.8,4,,,5,3,3,3,3,3,,2,3,5,5,5,5,,5,5,3,3,3,3,,4,5,5,5,5,5,,2,20,5,5,,,50,5,2.1,3,17,18.5,18.5,,,6,,,,,,,
5,5,,,,,,,,,,,,,,,,,5,4,,5,5,,5,3,,5,1,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,4,4,3,3,3,,,,,,Asym,0,2,2,1,0,20,4,,,5,3,3,3,2,2,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,3,20,5,5,,,55,4.5,2.1,2.8,17.5,19,19,,,13,,,,,,,
5,5,,,,,,,,,,,,,,,,,5,5,,5,5,,5,3,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT1,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,2,2,2,2,1,,1,1,3,4,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,1,16,5,5,,,60,4,2,2.7,18,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT2,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,4,4,3,3,2,,3,4,5,5,5,5,,5,5,4,3,3,4,,4,5,5,5,5,5,,2,16,5,5,,,65,3.8,2,2.5,18,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G6s1,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,4,4,3,3,3,,2,4,5,5,5,5,,5,5,4,3,4,4,,3,4,5,5,5,5,,3,16,5,5,,,70,3.6,2,2.2,18.5,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G6s2,5,5,4,4,4,4,,,,,,,,,,,,,,,,5,2,2,2,2,2,,3,4,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,1,17,5,5,,,75,3.2,1.8,2,18.6,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,3,4,5,5,5,5,,5,5,4,4,3,4,,3,5,5,5,5,5,,2,17,5,5,,,80,3,1.8,1.9,18.8,19.5,19.5,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,3,,2,4,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,3,17,5,5,,,85,2.9,1,1.8,18.9,19.5,19.7,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,2,4,5,5,5,5,,5,5,4,3,4,3,,3,5,5,5,5,5,,1,18,5,5,,,90,2.9,1,1.7,18.9,19.8,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,2,18,5,5,,,95,2.8,1,1.7,19,19.9,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,1,,2,4,5,5,5,5,,5,5,5,3,3,3,,3,5,5,5,5,5,,3,18,5,5,,,100,2.9,1,1.6,19,20,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,3,3,,2,4,4,5,5,5,,5,5,4,3,3,3,,4,5,5,5,5,5,,1,19,5,5,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,3,4,5,5,5,5,,5,5,4,3,4,3,,3,5,5,5,5,5,,2,19,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,3,3,3,,1,3,5,5,5,5,,5,5,5,4,4,3,,4,5,5,5,5,5,,3,19,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,4,4,3,,3,5,5,5,5,5,,1,14,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,4,,2,5,5,5,5,5,,2,14,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,1,1,3,4,5,5,,5,5,3,4,3,3,,3,5,5,5,5,5,,3,14,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,2,1,,3,4,5,5,5,5,,5,5,3,3,3,3,,3,4,5,5,5,5,,1,13,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,4,3,3,,4,5,5,5,5,5,,2,13,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,2,3,5,5,5,5,,5,5,4,3,3,4,,4,5,5,5,5,5,,3,13,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,1,0,0,0,0,0,,5,5,4,3,3,3,,3,5,5,5,5,5,,1,12,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,2,1,,2,4,5,5,5,5,,5,5,4,3,4,4,,3,5,5,5,5,5,,2,12,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,,,,,,,,,,,,,,,,,,,
